Study,Author,Year,Order,Genus,Species,Structure,Region,Suffix,n,Freq,Max vertebral age,Min validated,Max validated,Max actual age,Age underestimation,Magnitude min,Magnitude max,Magnitude mean,Method,Method2,Method3,Worked,Captive,Rationale,Comment
25,Chidlow et al,2007,Orectolobiformes,Orectolobus,Orectolobus hutchinsi,Vert-section,AUS/NZ,,9,Weight,NA,NA,NA,,NA,,,,Chemical,NA,NA,Yes,Yes,,
26,Sagarese and Frisk,2010,Rajiformes,Leucoraja,Leucoraja erinacea,Vert-section,NWA,,6,Annual,NA,NA,NA,,NA,,,,Chemical,Edge Analysis,NA,Yes,Yes,,
27,Huveneers et al,2013,Orectolobiformes,Orectolobus,Orectolobus maculatus,Vert-section,AUS/NZ,,32,Weight,NA,NA,NA,,NA,,,,Chemical,NA,NA,Partially,Yes,,
27,Huveneers et al,2013,Orectolobiformes,Orectolobus,Orectolobus halei,Vert-section,AUS/NZ,,8,Weight,NA,NA,NA,,NA,,,,Chemical,NA,NA,Partially,Yes,,
27,Huveneers et al,2013,Orectolobiformes,Orectolobus,Orectolobus ornatus,Vert-section,AUS/NZ,,3,Weight,NA,NA,NA,,NA,,,,Chemical,NA,NA,Partially,Yes,,
28,Kinney et al ,2016,Lamniformes,Isurus,Isurus oxyrinchus,Vert-section,NEP,,30,Biannual/Annual,22,0,10,,No,,,,Chemical,NA,NA,Yes,No,,Main study conducted by Well et al (2013). Maximum age of 22 based on Lyons et al (2015)
29,Booth et al,2011,Carcharhiniformes,Triakis,Triakis megalopterus,Vert-section,SA,,23,Annual,25,7,25,,No,,,,Chemical,NA,NA,Yes,Yes,,
30,Natanson et al,2006,Lamniformes,Isurus,Isurus oxyrinchus,Vert-whole,NWA,c,1,Annual,31,17,18,,No,,,,Chemical,NA,NA,Yes,No,,"Maximum age based on Adrizzone et al (2006), conducted concurrently. Additional information on size modes and growth presented but largely dismissed"
31,Branstetter,1987,Carcharhiniformes,Rhizoprionodon,Rhizoprionodon terranovae,Vert-section,NWA,,7,Annual,6,0,1.5,,No,,,,Chemical,NA,NA,Yes,Yes,,
32,Gruber and Stout,1983,Carcharhiniformes,Negaprion,Negaprion brevirostris,Vert-half,NWA,a,8,Annual,20,0,1,,No,,,,Chemical,Tagging,Length frequency,Yes,Yes,,Maximum age from Brown and Gruber (1988)
33,Romine et al,2006,Carcharhiniformes,Carcharhinus,Carcharhinus plumbeus,Vert-section,NEP,,1,Annual,23,1,2,,No,,,,Chemical,NA,NA,Yes,No,,
34,McPhie and Campana,2009,Rajiformes,Amblyraja,Amblyraja radiata,Vert-section,NWA,,1,Annual,19,0,19,,No,,,,Bomb radiocarbon,NA,NA,Yes,No,,
34,McPhie and Campana,2009,Rajiformes,Leucoraja,Leucoraja ocellata,Vert-section,NWA,,13,Annual,23,0,23,28,Yes,5,5,5,Bomb radiocarbon,NA,NA,Yes,No,Phase-shifted C14 signature,
